timestamp,card_uid,raw_id,tornello_id,direzione,authorized,auth_message,relay_activated,card_data,auth_time_ms,event_type
2025-10-04T04:57:20.218976,N/A,N/A,tornello_01,unknown,True,Accesso offline autorizzato - modalità permissiva,True,,0,access_attempt
2025-10-04T04:57:22.233518,N/A,N/A,tornello_01,unknown,True,Accesso offline autorizzato - modalità permissiva,True,,0,access_attempt
2025-10-04T04:57:24.382374,N/A,N/A,tornello_01,unknown,True,Accesso offline autorizzato - modalità permissiva,True,,1,access_attempt
2025-10-04T04:57:26.403299,N/A,N/A,tornello_01,unknown,True,Accesso offline autorizzato - modalità permissiva,True,,0,access_attempt
2025-10-04T04:57:28.444305,N/A,N/A,tornello_01,unknown,True,Accesso offline autorizzato - modalità permissiva,True,,0,access_attempt
2025-10-04T04:57:30.448856,N/A,N/A,tornello_01,unknown,True,Accesso offline autorizzato - modalità permissiva,True,,0,access_attempt
2025-10-04T04:57:32.460461,N/A,N/A,tornello_01,unknown,True,Accesso offline autorizzato - modalità permissiva,True,,0,access_attempt
2025-10-04T04:57:34.609895,N/A,N/A,tornello_01,unknown,True,Accesso offline autorizzato - modalità permissiva,True,,0,access_attempt
2025-10-04T04:57:36.612957,N/A,N/A,tornello_01,unknown,True,Accesso offline autorizzato - modalità permissiva,True,,0,access_attempt
2025-10-04T04:57:38.629996,N/A,N/A,tornello_01,unknown,True,Accesso offline autorizzato - modalità permissiva,True,,0,access_attempt
2025-10-04T04:57:40.637145,N/A,N/A,tornello_01,unknown,True,Accesso offline autorizzato - modalità permissiva,True,,0,access_attempt
2025-10-04T04:57:42.638122,N/A,N/A,tornello_01,unknown,True,Accesso offline autorizzato - modalità permissiva,True,,0,access_attempt
2025-10-04T04:57:44.646876,N/A,N/A,tornello_01,unknown,True,Accesso offline autorizzato - modalità permissiva,True,,0,access_attempt
2025-10-04T04:57:46.790205,N/A,N/A,tornello_01,unknown,True,Accesso offline autorizzato - modalità permissiva,True,,0,access_attempt
2025-10-04T04:57:48.805763,N/A,N/A,tornello_01,unknown,True,Accesso offline autorizzato - modalità permissiva,True,,0,access_attempt
2025-10-04T04:57:50.808275,N/A,N/A,tornello_01,unknown,True,Accesso offline autorizzato - modalità permissiva,True,,0,access_attempt
2025-10-04T04:57:52.961763,N/A,N/A,tornello_01,unknown,True,Accesso offline autorizzato - modalità permissiva,True,,0,access_attempt
